id_registro,empresa,departamento,produto_original,produto_normalizado,codigo_produto,codigo_valido,quantidade,unidade,quantidade_base,unidade_base,embalagem_original,preco,preco_publico,pagina_catalogo,data_referencia,metodo_extracao,qualidade_extracao,status_validacao,link_produto,fonte
1840,Fortali Distribuidora,Confeitaria,FORMINHA 4 PET MARROM CORAÇAO SULFORMAS,FORMINHA 4 PET MARROM CORACAO SULFORMAS,28674,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-pet-marrom-coracao-sulformas-28674-1,https://www.fortali.com.br/confeitaria?page=87
1841,Fortali Distribuidora,Confeitaria,FORMINHA 4 PET MARROM FIORI SULFORMAS,FORMINHA 4 PET MARROM FIORI SULFORMAS,28675,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-pet-marrom-fiori-sulformas-28675-1,https://www.fortali.com.br/confeitaria?page=87
1842,Fortali Distribuidora,Confeitaria,FORMINHA 4 PETALAS MARROM LINHA SULFORM,FORMINHA 4 PETALAS MARROM LINHA SULFORM,28676,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-petalas-marrom-linha-sulform-28676-1,https://www.fortali.com.br/confeitaria?page=87
1843,Fortali Distribuidora,Confeitaria,FORMINHA 4 PETALAS BCO CORAÇAO SULFORMAS,FORMINHA 4 PETALAS BCO CORACAO SULFORMAS,28677,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-petalas-bco-coracao-sulformas-28677-1,https://www.fortali.com.br/confeitaria?page=87
1844,Fortali Distribuidora,Confeitaria,FORMINHA 4 PETALAS BCO FIORI SULFORMAS,FORMINHA 4 PETALAS BCO FIORI SULFORMAS,28678,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-petalas-bco-fiori-sulformas-28678-1,https://www.fortali.com.br/confeitaria?page=87
1845,Fortali Distribuidora,Confeitaria,FORMINHA 4 PETALAS BCO LINHA SULFORMAS,FORMINHA 4 PETALAS BCO LINHA SULFORMAS,28679,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-petalas-bco-linha-sulformas-28679-1,https://www.fortali.com.br/confeitaria?page=87
1846,Fortali Distribuidora,Confeitaria,FORMINHA 4 PETALAS ROSA CORAÇAO SULFORM,FORMINHA 4 PETALAS ROSA CORACAO SULFORM,28680,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-petalas-rosa-coracao-sulform-28680-1,https://www.fortali.com.br/confeitaria?page=87
1847,Fortali Distribuidora,Confeitaria,FORMINHA 4 PETALAS ROSA FIORI SULFORMAS,FORMINHA 4 PETALAS ROSA FIORI SULFORMAS,28681,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-petalas-rosa-fiori-sulformas-28681-1,https://www.fortali.com.br/confeitaria?page=87
1848,Fortali Distribuidora,Confeitaria,FORMINHA 4 PETALAS ROSA LINHA SULFORMAS,FORMINHA 4 PETALAS ROSA LINHA SULFORMAS,28682,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/forminha-4-petalas-rosa-linha-sulformas-28682-1,https://www.fortali.com.br/confeitaria?page=87
1849,Fortali Distribuidora,Confeitaria,"BOMBOM FERRERO ROCHER 37,5G PCT C/3UN","BOMBOM FERRERO ROCHER 37,5G PCT C 3UN",28742,Sim,37.5,G,37.5,G,"37,5G",,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/bombom-ferrero-rocher-375g-pct-c3un-28742-1,https://www.fortali.com.br/confeitaria?page=87
1850,Fortali Distribuidora,Confeitaria,BOMBOM FERRERO ROCHER 100G PCT C/8UN,BOMBOM FERRERO ROCHER 100G PCT C 8UN,28743,Sim,100.0,G,100.0,G,100G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/bombom-ferrero-rocher-100g-pct-c8un-28743-1,https://www.fortali.com.br/confeitaria?page=87
1851,Fortali Distribuidora,Confeitaria,CHOCOLATE KINDER BUENO WHITE T2,CHOCOLATE KINDER BUENO WHITE T2,28744,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/chocolate-kinder-bueno-white-t2-28744-1,https://www.fortali.com.br/confeitaria?page=87
1852,Fortali Distribuidora,Confeitaria,CHOCOLATE KINDER JOY LEI T1,CHOCOLATE KINDER JOY LEI T1,28745,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/chocolate-kinder-joy-lei-t1-28745-1,https://www.fortali.com.br/confeitaria?page=87
1853,Fortali Distribuidora,Confeitaria,CHOCOLATE KINDER JOY LUI T1,CHOCOLATE KINDER JOY LUI T1,28746,Sim,,,,,,,Não,87,2026-08-18 13:06:57,Web scraping,Revisar,Revisar embalagem,https://www.fortali.com.br/chocolate-kinder-joy-lui-t1-28746-1,https://www.fortali.com.br/confeitaria?page=87
