empresa,departamento,produto_original,produto_normalizado,codigo_produto,embalagem_original,quantidade,unidade,quantidade_base,unidade_base,preco,preco_publico,pagina_catalogo,link_produto,data_coleta,fonte,status_validacao
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO PRETO MAGO 5G,PO P DECORACAO PRETO MAGO 5G,27723,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-preto-mago-5g--27723-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO OURO BRILHANTE MAGO 5G,PO P DECORACAO OURO BRILHANTE MAGO 5G,27724,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-ouro-brilhante-mago-5g--27724-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO PRATA UNICORNIO MAGO 5G,PO P DECORACAO PRATA UNICORNIO MAGO 5G,27725,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-prata-unicornio-mago-5g--27725-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO AZUL CLARO MAGO 5G,PO P DECORACAO AZUL CLARO MAGO 5G,27726,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-azul-claro-mago-5g--27726-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO ROSE MAGO 5G,PO P DECORACAO ROSE MAGO 5G,27727,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-rose-mago-5g--27727-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO PINK MAGO 5G,PO P DECORACAO PINK MAGO 5G,27728,5G,5.0,G,5.0,G,,Não,84,https://www.fortali.com.br/po-p-decoracao-pink-mago-5g--27728-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECOR VERMELHO BRILHANTE MAGO 5G,PO P DECOR VERMELHO BRILHANTE MAGO 5G,27729,5G,5.0,G,5.0,G,,Não,84,https://www.fortali.com.br/po-p-decor-vermelho-brilhante-mago-5g--27729-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO OURO 50G MAGO,PO P DECORACAO OURO 50G MAGO,27730,50G,50.0,G,50.0,G,,Não,24,https://www.fortali.com.br/po-p-decoracao-ouro-50g-mago-27730-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=24,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO AZUL ESCURO MAGO 5G,PO P DECORACAO AZUL ESCURO MAGO 5G,27731,5G,5.0,G,5.0,G,,Não,84,https://www.fortali.com.br/po-p-decoracao-azul-escuro-mago-5g--27731-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO CHAMPANHE MAGO 5G,PO P DECORACAO CHAMPANHE MAGO 5G,27732,5G,5.0,G,5.0,G,,Não,84,https://www.fortali.com.br/po-p-decoracao-champanhe-mago-5g--27732-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO VIOLETA MAGO 5G,PO P DECORACAO VIOLETA MAGO 5G,27733,5G,5.0,G,5.0,G,,Não,84,https://www.fortali.com.br/po-p-decoracao-violeta-mago-5g--27733-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,COR SOFT GEL AZUL JEANS 15G MAGO,COR SOFT GEL AZUL JEANS 15G MAGO,27764,15G,15.0,G,15.0,G,,Não,84,https://www.fortali.com.br/cor-soft-gel-azul-jeans-15g-mago-27764-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,COR SOFT GEL AZUL JEANS MAGO 60G,COR SOFT GEL AZUL JEANS MAGO 60G,27765,60G,60.0,G,60.0,G,,Não,84,https://www.fortali.com.br/cor-soft-gel-azul-jeans-mago-60g--27765-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,COR SOFT GEL VERDE 15G MAGO,COR SOFT GEL VERDE 15G MAGO,27766,15G,15.0,G,15.0,G,,Não,24,https://www.fortali.com.br/cor-soft-gel-verde-15g-mago-27766-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=24,Pronto para comparar
Fortali Distribuidora,Confeitaria,COR SOFT GEL ROSA SECO 15G MAGO,COR SOFT GEL ROSA SECO 15G MAGO,27767,15G,15.0,G,15.0,G,,Não,84,https://www.fortali.com.br/cor-soft-gel-rosa-seco-15g-mago-27767-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,COR SOFT GEL VERDE MENTA MAGO 60G,COR SOFT GEL VERDE MENTA MAGO 60G,27768,60G,60.0,G,60.0,G,,Não,16,https://www.fortali.com.br/cor-soft-gel-verde-menta-mago-60g--27768-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=16,Pronto para comparar
Fortali Distribuidora,Confeitaria,COR SOFT GEL VERDE MENTA 15G MAGO,COR SOFT GEL VERDE MENTA 15G MAGO,27769,15G,15.0,G,15.0,G,,Não,24,https://www.fortali.com.br/cor-soft-gel-verde-menta-15g-mago-27769-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=24,Pronto para comparar
Fortali Distribuidora,Confeitaria,ACIDO CITRICO 50G MAGO,ACIDO CITRICO 50G MAGO,27771,50G,50.0,G,50.0,G,,Não,18,https://www.fortali.com.br/acido-citrico-50g-mago-27771-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=18,Pronto para comparar
Fortali Distribuidora,Confeitaria,AGAR AGAR 30G MAGO,AGAR AGAR 30G MAGO,27772,30G,30.0,G,30.0,G,,Não,84,https://www.fortali.com.br/agar-agar-30g-mago-27772-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,GLUCOSE EM PO 50G MAGO,GLUCOSE EM PO 50G MAGO,27773,50G,50.0,G,50.0,G,,Não,84,https://www.fortali.com.br/glucose-em-po-50g-mago-27773-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
Fortali Distribuidora,Confeitaria,"FRUITFIL GOIABA PURATOS 1,05KG","FRUITFIL GOIABA PURATOS 1,05KG",27805,"1,05KG",1.05,KG,1050.0,G,,Não,84,https://www.fortali.com.br/fruitfil-goiaba-puratos-105kg-27805-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=84,Pronto para comparar
