empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte,quantidade_original,unidade_original,quantidade_padronizada,unidade_padronizada,produto_padronizado_inicial,motivos_revisao,codigo_produto_original,motivo_codigo,id_registro,status_validacao
Milk Distribuidora,TORTA DE LIMÃO,57,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,TORTA DE LIMÃO,Embalagem não identificada,57,CODIGO_VALIDO,MILK_COD_57,VALIDO
Milk Distribuidora,STARGEL 10KG,58,True,2,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,10.0,KG,10.0,KG,STARGEL,,58,CODIGO_VALIDO,MILK_COD_58,VALIDO
Milk Distribuidora,CAPPUCCINO,,False,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CAPPUCCINO,Código XX; Embalagem não identificada,XX,CODIGO_PLACEHOLDER,MILK_NOME_FCC007DDE5BF16FE,REVISAR_CODIGO
Milk Distribuidora,CREME DE AVELÃ • 4 Kg,099,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.0,KG,4.0,KG,CREME DE AVELÃ •,,099,CODIGO_VALIDO,MILK_COD_099,VALIDO
Milk Distribuidora,MORANGO,100,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO,Embalagem não identificada,100,CODIGO_VALIDO,MILK_COD_100,VALIDO
Milk Distribuidora,MORANGO,101,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO,Embalagem não identificada,101,CODIGO_VALIDO,MILK_COD_101,VALIDO
Milk Distribuidora,CHOC MEIO AMARGO,102,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOC MEIO AMARGO,Embalagem não identificada,102,CODIGO_VALIDO,MILK_COD_102,VALIDO
Milk Distribuidora,"MORANGO • 4,5 Kg",103,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.5,KG,4.5,KG,MORANGO •,,103,CODIGO_VALIDO,MILK_COD_103,VALIDO
Milk Distribuidora,CHOCOLATE,104,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE,Embalagem não identificada,104,CODIGO_VALIDO,MILK_COD_104,VALIDO
Milk Distribuidora,CHOCOLATE,105,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE,Embalagem não identificada,105,CODIGO_VALIDO,MILK_COD_105,VALIDO
Milk Distribuidora,CARAMELO GOUMET • 5 Kg,106,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,5.0,KG,5.0,KG,CARAMELO GOUMET •,,106,CODIGO_VALIDO,MILK_COD_106,VALIDO
Milk Distribuidora,CHOCOLATE TRUFADO • 4 Kg,107,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.0,KG,4.0,KG,CHOCOLATE TRUFADO •,,107,CODIGO_VALIDO,MILK_COD_107,VALIDO
Milk Distribuidora,TRUFA BRANCA • 4 Kg,108,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.0,KG,4.0,KG,TRUFA BRANCA •,,108,CODIGO_VALIDO,MILK_COD_108,VALIDO
Milk Distribuidora,LEITINHO • 4 Kg,111,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.0,KG,4.0,KG,LEITINHO •,,111,CODIGO_VALIDO,MILK_COD_111,VALIDO
Milk Distribuidora,"FRUTAS DO BOSQUE • 1,2KG",153,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,1.2,KG,1.2,KG,FRUTAS DO BOSQUE •,,153,CODIGO_VALIDO,MILK_COD_153,VALIDO
Milk Distribuidora,LIGA STARMIX G • 3 KG,157,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,3.0,KG,3.0,KG,LIGA STARMIX G •,,157,CODIGO_VALIDO,MILK_COD_157,VALIDO
Milk Distribuidora,CARAMELO,17,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CARAMELO,Embalagem não identificada,17,CODIGO_VALIDO,MILK_COD_17,VALIDO
