empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte
Milk Distribuidora,"OVOMALTINE CREME CROCANTE 2,10 KG",XX,Não,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CACAU EM PÓ ALCALINO BARRY 25 KG,05,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"COBERTURA CHIPSHOW CHOCOLATE AO LEITE 2,5 KG",06,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CACAU PROCESSADO BENSDORP BARRY 5 KG,125,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME DE CHANTILLY,144,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BRIGADEIRO DE COLHER ALISPEC • 1 KG,266,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"RECHEIO COBERTURA CHOCOLATE • 1,05 KG",276,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BEBIDA LÁCTEA VIGOR BAUNILHA,281,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME CULINÁRIO BRIGATTA,282,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,PASTA DE AMENDOIM NUT • 4KG,286,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,AMENDOIM GRANULADOS NUT,287,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,AMENDOIM BANDA NUT • 1KG,288,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BEBIDA LÁCTEA VIGOR CHOCOLATE,289,Sim,7,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"DOCE DE SORO DE LEITE COM CHOC. 9,8KG",04,Sim,8,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"DOCE DE SORO DE LEITE TRADICIONAL 4,8 KG",09,Sim,8,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"2,5 KG",142,Sim,8,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"CHOCOLATE EM PÓ MELKEN 50% 1,050 KG",15,Sim,8,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"DOCE DE LEITE PARA CONFEITARIA AUREA 4,5 KG",154,Sim,8,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
